dataset,normalize,input_window,score_smoothing,is_headline,method,auprc_mean,auprc_sd,auprc_random_mean,n_pairs,n_better_than_control,control_sign_p,distinguishable,rank,reference_rank,rank_changed,reference_distinguishable,kendall_tau,n_discordant_pairs,n_discordant_pairs_distinguishable
mgab,robust,16,16,False,esn_residual,0.20365600858998562,0.017974744430437135,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,robust,16,16,False,delay_line_residual,0.058497054016509294,0.01375029186720682,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,0.7333333333333333,2,0
mgab,robust,16,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,6,5,True,False,0.7333333333333333,2,0
mgab,robust,16,16,False,moving_statistics,0.05592067129504764,0.011411675854101038,0.057047673586720374,15,6,0.84912109375,False,5,4,True,False,0.7333333333333333,2,0
mgab,robust,16,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,robust,16,16,False,input_norm_control,0.05674793433295059,0.012197043816952661,0.057047673586720374,15,7,0.696380615234375,False,4,6,True,False,0.7333333333333333,2,0
mgab,robust,32,1,False,esn_residual,0.1369812501822156,0.013873897665962838,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.4666666666666667,4,0
mgab,robust,32,1,False,delay_line_residual,0.05578559275259897,0.010679287676208769,0.05615605185339527,15,5,0.940765380859375,False,4,2,True,False,0.4666666666666667,4,0
mgab,robust,32,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,3,5,True,False,0.4666666666666667,4,0
mgab,robust,32,1,False,moving_statistics,0.054571038604194294,0.01034203437347568,0.05615605185339527,15,0,1.0,False,6,4,True,False,0.4666666666666667,4,0
mgab,robust,32,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,2,3,True,False,0.4666666666666667,4,0
