dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,1,random_control,0,0.14285714285714285,0.610723337757463,0.04552621206148995,0.1440149625935162,0.06918238993710692,0.14279396155206983,5074,0.7396820929552632
mgab,1,random_control,0,0.19047619047619047,0.5912863940288844,0.04390243902439024,0.18516209476309228,0.07097622177082089,0.19070645123245666,6765,0.7396820929552632
mgab,1,random_control,0,0.23809523809523808,0.574132731567488,0.044105474754641126,0.23254364089775562,0.07414769903588111,0.23835357943153673,8457,0.7396820929552632
mgab,1,random_control,0,0.2857142857142857,0.5589745505276369,0.043949546708711075,0.27805486284289277,0.07590197413206262,0.286059676848685,10148,0.7396820929552632
mgab,1,random_control,0,0.3333333333333333,0.5447252879989719,0.04442567567567567,0.327930174563591,0.07825052067836953,0.33358886661162873,11840,0.7396820929552632
mgab,1,random_control,0,0.38095238095238093,0.5315150798614923,0.04441652501662848,0.37468827930174564,0.07941856623719856,0.3812359948107088,13531,0.7396820929552632
mgab,1,random_control,0,0.42857142857142855,0.5185014406770279,0.044737879385100515,0.4245635910224439,0.08094615476048972,0.42873569996461847,15222,0.7396820929552632
mgab,1,random_control,0,0.47619047619047616,0.5059105973075475,0.045287927160931774,0.4775561097256858,0.08273031644886056,0.4761174666823918,16914,0.7396820929552632
mgab,1,random_control,0,0.5238095238095238,0.4934713517018281,0.04482665950013437,0.5199501246882793,0.08253748329952,0.5239709871447105,18605,0.7396820929552632
mgab,1,random_control,0,0.5714285714285714,0.4806450237588251,0.04503128541163719,0.5698254364089775,0.08346650837861286,0.5715001769076542,20297,0.7396820929552632
mgab,1,random_control,0,0.6190476190476191,0.46754810601760255,0.04502455885028197,0.6172069825436409,0.08392675483214648,0.6191178204977003,21988,0.7396820929552632
mgab,1,random_control,0,0.6666666666666666,0.45381213454129465,0.04505912162162162,0.6652119700748129,0.08440120234140168,0.6667354640877462,23680,0.7396820929552632
mgab,1,random_control,0,0.7142857142857143,0.43965344803109474,0.0448543612786252,0.7094763092269327,0.08437442075996293,0.7145005307229626,25371,0.7396820929552632
mgab,1,random_control,0,0.7619047619047619,0.4240729016541991,0.04456433375212475,0.7518703241895262,0.0841414916625968,0.7623540511852813,27062,0.7396820929552632
mgab,1,random_control,0,0.8095238095238095,0.407264975335238,0.04451554566321207,0.7980049875311721,0.08432703076619012,0.8100601486024296,28754,0.7396820929552632
