dataset,series,method,replicate,seed_reservoir,seed_task,seed_split,seed_control,normalize,preprocessor_id,selected_alpha,auprc,auprc_random,anomaly_rate,threshold,f1_calibrated,precision_calibrated,recall_calibrated,far_test,n_evaluated,n_train,n_calibration,n_test,t0,split_offset,wall_time_s,f1_test_optimal,pa_f1_k0,pa_f1_random_k0,pa_f1_k20,pa_f1_random_k20
mgab,1,random_control,3,0,1,2,5,zscore,b5f519585481,nan,0.04289735888893266,0.04289735888893266,0.045157657657657654,0.7378317009613511,0.01694017998941239,0.056140350877192984,0.00997506234413965,0.007931359830168652,35520,14800,8880,35520,200,570,0.03749254206195474,0.08658642376924744,0.9226344549899338,0.9226344549899338,0.01694017998941239,0.01694017998941239
mgab,1,input_norm_control,3,0,1,2,5,zscore,b5f519585481,nan,0.04390945259603111,0.04289735888893266,0.045157657657657654,1.963645778726459,0.010660980810234541,0.03676470588235294,0.006234413965087282,0.007724967566930063,35520,14800,8880,35520,200,570,0.03786891605705023,0.08753971055418285,0.7839687194525903,0.9255626081938835,0.010660980810234541,0.014925373134328358
mgab,1,esn_residual,4,0,1,2,5,zscore,b5f519585481,1e-08,0.17603047967256952,0.04614437027951995,0.045157657657657654,0.027654823300771625,0.192062714355708,0.448512585812357,0.12219451371571072,0.0071057907772142945,35520,14800,8880,35520,200,477,0.03827412496320903,0.2008879023307436,0.9301246738184982,0.8835031671715781,0.192062714355708,0.013718765311121997
mgab,1,delay_line_residual,4,0,1,2,5,zscore,b5f519585481,1e-08,0.045231775208419145,0.04614437027951995,0.045157657657657654,0.06063177053736979,0.021795537104307212,0.06501547987616099,0.013092269326683292,0.008904351928293431,35520,14800,8880,35520,200,477,0.037633624859154224,0.08650164482554064,0.7738822772595689,0.7709067606536365,0.021795537104307212,0.009340944473274519
mgab,1,persistence_residual,4,0,1,2,5,zscore,b5f519585481,nan,0.044736436038591156,0.04614437027951995,0.045157657657657654,0.26470751240265145,0.007345225603357817,0.023178807947019868,0.004364089775561097,0.008697959665054841,35520,14800,8880,35520,200,477,0.03753241687081754,0.08658900027092928,0.5938541281007034,0.7758787487907127,0.007345225603357817,0.008394543546694649
mgab,1,moving_statistics,4,0,1,2,5,zscore,b5f519585481,nan,0.04542371651090574,0.04614437027951995,0.045157657657657654,3.022786740431002,0.018471010774756286,0.05217391304347826,0.011221945137157107,0.009641467154145536,35520,14800,8880,35520,200,477,0.03820862481370568,0.08662310309445374,0.9074964639321075,0.7657542966263527,0.018471010774756286,0.01026167265264238
mgab,1,random_control,4,0,1,2,5,zscore,b5f519585481,nan,0.04614437027951995,0.04614437027951995,0.045157657657657654,0.7312544898046553,0.010266940451745381,0.029069767441860465,0.006234413965087282,0.009847859417384126,35520,14800,8880,35520,200,477,0.037380709080025554,0.08759164630082204,0.7659980897803248,0.7659980897803248,0.010266940451745381,0.010266940451745381
mgab,1,input_norm_control,4,0,1,2,5,zscore,b5f519585481,nan,0.043906242231710815,0.04614437027951995,0.045157657657657654,1.963645778726459,0.010660980810234541,0.03676470588235294,0.006234413965087282,0.007724967566930063,35520,14800,8880,35520,200,477,0.03733133408240974,0.08753971055418285,0.7839687194525903,0.783458156952133,0.010660980810234541,0.008528784648187631
mgab,2,esn_residual,0,0,1,2,5,zscore,897610aa7f60,1e-07,0.12577142475080733,0.048178319840373365,0.04850788288288288,0.02628342815285123,0.12141652613827994,0.2218798151001541,0.08357515960533952,0.014942154629109092,35520,14800,8880,35520,200,166,0.03834458300843835,0.12594659226783578,0.837160751565762,0.6777464788732395,0.12141652613827994,0.021079258010118045
mgab,2,delay_line_residual,0,0,1,2,5,zscore,897610aa7f60,1e-08,0.048366751420397966,0.048178319840373365,0.04850788288288288,0.05954694926715831,0.018901890189018902,0.04208416833667335,0.012188044109112013,0.014143267153889399,35520,14800,8880,35520,200,166,0.038199624978005886,0.09293016714447991,0.8431011826544021,0.7068155111633373,0.018901890189018902,0.018901890189018902
mgab,2,persistence_residual,0,0,1,2,5,zscore,897610aa7f60,nan,0.04895882164407139,0.048178319840373365,0.04850788288288288,0.26416445533783417,0.013552758954501452,0.04081632653061224,0.00812536273940801,0.009734591827677013,35520,14800,8880,35520,200,166,0.03783400007523596,0.09440438085688943,0.7391705069124425,0.7391705069124425,0.013552758954501452,0.013552758954501452
mgab,2,moving_statistics,0,0,1,2,5,zscore,897610aa7f60,nan,0.04715650817148675,0.048178319840373365,0.04850788288288288,2.9840733738355993,0.010541447053186393,0.03021978021978022,0.006384213580963436,0.010444714027872296,35520,14800,8880,35520,200,166,0.038123541977256536,0.0941908950705432,0.8717391304347827,0.7351054078826765,0.010541447053186393,0.01629132726401533
mgab,2,random_control,0,0,1,2,5,zscore,897610aa7f60,nan,0.048178319840373365,0.048178319840373365,0.04850788288288288,0.7312224802808487,0.017061611374407586,0.046511627906976744,0.01044689495066744,0.010918128828002485,35520,14800,8880,35520,200,166,0.03786791698075831,0.092843431475924,0.7301972685887709,0.7301972685887709,0.017061611374407586,0.017061611374407586
mgab,2,input_norm_control,0,0,1,2,5,zscore,897610aa7f60,nan,0.04854071568465909,0.048178319840373365,0.04850788288288288,1.9471966173728106,0.01633045148895293,0.04735376044568245,0.009866511897852582,0.010119241352782792,35520,14800,8880,35520,200,166,0.03755887481383979,0.09483014546842529,0.7362301101591188,0.7360048944631387,0.01633045148895293,0.01536983669548511
mgab,2,esn_residual,1,0,1,2,5,zscore,897610aa7f60,1e-07,0.16088951174164337,0.051534064677256006,0.051661036036036036,0.026061089962162498,0.16268717118575474,0.3160377358490566,0.10953678474114441,0.012913759833753896,35520,14800,8880,35520,200,278,0.03847008291631937,0.16949152542372883,0.8940316686967112,0.8576770273428371,0.16268717118575474,0.021853500607041682
mgab,2,delay_line_residual,1,0,1,2,5,zscore,897610aa7f60,0.01,0.05160310457460308,0.051534064677256006,0.051661036036036036,0.05956292850343914,0.019776440240756664,0.04684317718940937,0.012534059945504087,0.01389342437286626,35520,14800,8880,35520,200,278,0.038228458957746625,0.0989260509358699,0.8869018849685838,0.8860453887011106,0.019776440240756664,0.01633705932932072
mgab,2,persistence_residual,1,0,1,2,5,zscore,897610aa7f60,nan,0.051861609119462575,0.051534064677256006,0.051661036036036036,0.26375577126219696,0.015482695810564663,0.04709141274238227,0.009264305177111716,0.010212260650141013,35520,14800,8880,35520,200,278,0.038104250095784664,0.09914372384133933,0.7938001660669805,0.6418142280211245,0.015482695810564663,0.009107468123861567
mgab,2,moving_statistics,1,0,1,2,5,zscore,897610aa7f60,nan,0.05042728943207189,0.051534064677256006,0.051661036036036036,2.9703877526326323,0.012556053811659192,0.035443037974683546,0.007629427792915531,0.011310672406115482,35520,14800,8880,35520,200,278,0.039407166885212064,0.0995245822301933,0.90594914835843,0.7853231106243155,0.012556053811659192,0.010762331838565021
mgab,2,random_control,1,0,1,2,5,zscore,897610aa7f60,nan,0.051534064677256006,0.051534064677256006,0.051661036036036036,0.7377889346028041,0.007651841224294595,0.03125,0.004359673024523161,0.007362327445450497,35520,14800,8880,35520,200,278,0.038140667136758566,0.09937957632329104,0.6630295250320924,0.6630295250320924,0.007651841224294595,0.007651841224294595
mgab,2,input_norm_control,1,0,1,2,5,zscore,897610aa7f60,nan,0.05145487542923058,0.051534064677256006,0.051661036036036036,1.9426244413784843,0.01703272075302555,0.047979797979797977,0.010354223433242507,0.011191925189253377,35520,14800,8880,35520,200,278,0.037589750019833446,0.09967697277341947,0.7045387994143485,0.78510813030386,0.01703272075302555,0.010757507844016138
mgab,2,esn_residual,2,0,1,2,5,zscore,897610aa7f60,1e-07,0.16630638594752112,0.05304494289449553,0.05644707207207207,0.027086959447920833,0.16366483946750193,0.3806921675774135,0.10423940149625935,0.01014471132328808,35520,14800,8880,35520,200,526,0.038193375105038285,0.17171298216507674,0.9218390804597701,0.7743181269611393,0.16366483946750193,0.011746280344557556
mgab,2,delay_line_residual,2,0,1,2,5,zscore,897610aa7f60,0.001,0.056462930775899395,0.05304494289449553,0.05644707207207207,0.05952466005784629,0.018436873747494986,0.04693877551020408,0.011471321695760598,0.013934059376398628,35520,14800,8880,35520,200,526,0.03833575011231005,0.1070883840411014,0.8956890775072593,0.7847358121330724,0.018436873747494986,0.008817635270541083
mgab,2,persistence_residual,2,0,1,2,5,zscore,897610aa7f60,nan,0.05655270954765454,0.05304494289449553,0.05644707207207207,0.26416445533783417,0.013640238704177321,0.0469208211143695,0.00798004987531172,0.009697150529613606,35520,14800,8880,35520,200,526,0.037755124969407916,0.10727910880512742,0.8154550076258261,0.6790855207451313,0.013640238704177321,0.005115089514066497
mgab,2,moving_statistics,2,0,1,2,5,zscore,897610aa7f60,nan,0.054997430036758,0.05304494289449553,0.05644707207207207,2.9727342530431997,0.012531328320802004,0.038560411311053984,0.007481296758104738,0.011159182455616888,35520,14800,8880,35520,200,526,0.03781570796854794,0.1080575702629193,0.9146897810218978,0.6701949860724233,0.012531328320802004,0.0058479532163742695
mgab,2,random_control,2,0,1,2,5,zscore,897610aa7f60,nan,0.05304494289449553,0.05304494289449553,0.05644707207207207,0.7350126386851343,0.004306632213608957,0.015772870662460567,0.0024937655860349127,0.009309264508429062,35520,14800,8880,35520,200,526,0.03758912510238588,0.10687918121485115,0.6835227272727273,0.6835227272727273,0.004306632213608957,0.004306632213608957
mgab,2,input_norm_control,2,0,1,2,5,zscore,897610aa7f60,nan,0.056138598475553,0.05304494289449553,0.05644707207207207,1.9444967178942534,0.01591289782244556,0.04960835509138381,0.009476309226932668,0.010860808593167239,35520,14800,8880,35520,200,526,0.03733074991032481,0.10813789725062764,0.673572228443449,0.6713169642857142,0.01591289782244556,0.005862646566164155
mgab,2,esn_residual,3,0,1,2,5,zscore,897610aa7f60,1e-07,0.18250019995631023,0.05587586628924773,0.05498310810810811,0.02644669220612883,0.17903596021423107,0.3540090771558245,0.11981566820276497,0.012720827002710995,35520,14800,8880,35520,200,396,0.03809725004248321,0.18475336322869956,0.901453957996769,0.8643505200265545,0.17903596021423107,0.036725325172149964
mgab,2,delay_line_residual,3,0,1,2,5,zscore,897610aa7f60,1e-08,0.05502211359270236,0.05587586628924773,0.05498310810810811,0.05960153595016493,0.018883415435139574,0.047619047619047616,0.011776753712237584,0.013703935412756576,35520,14800,8880,35520,200,396,0.038247874937951565,0.10448523286125071,0.8946404031149795,0.8977246609974718,0.018883415435139574,0.031198686371100164
