experiment,rho,leak_rate,state_noise,replicate,n_units,alpha,val_nrmse,regime,amplitude_ratio,std_ratio,autocorr_peak,diverged,n_completed,stats_steps,valid_time_threshold,valid_time_steps,valid_time_lyapunov,valid_time_censored,wall_time_s
4C_stability,0.7,1.0,0.0001,4,200,1e-06,0.00011401726217242357,attractor,1.0753305883732425,0.9782489525529862,0.15937856642619336,False,20000,20000,0.4,652,5.9727222537202245,False,0.8236638749949634
4C_stability,0.7,1.0,0.001,0,200,0.0001,0.0008774221705203863,attractor,1.0493031225143796,1.0093730147614477,0.16048012359705552,False,20000,20000,0.4,353,3.233697784606195,False,0.8220382919535041
4C_stability,0.7,1.0,0.001,1,200,1e-08,0.0011650918673894635,attractor,1.0007290020587385,0.8877515504125515,0.0640571209397501,False,20000,20000,0.4,225,2.0611388145506906,False,0.8183428749907762
4C_stability,0.7,1.0,0.001,2,200,1e-08,0.0010992187686707918,attractor,1.0251359767261052,1.0116477948777285,0.2126748669034002,False,20000,20000,0.4,243,2.226029919714746,False,0.8237404581159353
4C_stability,0.7,1.0,0.001,3,200,1e-05,0.000895236661827889,attractor,1.0206516973366693,1.011387173113736,0.19220384841398805,False,20000,20000,0.4,649,5.9452404028595485,False,0.81743208412081
4C_stability,0.7,1.0,0.001,4,200,0.0001,0.0008144822883180263,attractor,1.0144307241094284,1.0030592622663526,0.2143313372135916,False,20000,20000,0.4,86,0.7878130580060417,False,0.8180206250399351
4C_stability,0.7,1.0,0.01,0,200,0.001,0.005637356198527748,diverged,5.981111374457807e+16,nan,nan,False,20000,20000,0.4,46,0.4213883798636968,False,0.816863999934867
4C_stability,0.7,1.0,0.01,1,200,0.001,0.006969700333076352,diverged,1.1299924999884456e+60,nan,nan,False,20000,20000,0.4,49,0.44887023072437265,False,0.8194979592226446
4C_stability,0.7,1.0,0.01,2,200,0.01,0.006292446471894071,attractor,2.3068131515949455,2.7839552742086346,0.24981939599897893,False,20000,20000,0.4,292,2.6749001504391186,False,0.8213920840062201
4C_stability,0.7,1.0,0.01,3,200,0.001,0.006007488518119095,attractor,0.9188047987206707,1.043342133084929,0.21561054976727234,False,20000,20000,0.4,20,0.18321233907117251,False,0.8244740001391619
4C_stability,0.7,1.0,0.01,4,200,0.001,0.005513938623655408,attractor,0.9212286734411378,1.025819303694562,0.36544671269697265,False,20000,20000,0.4,202,1.8504446246188424,False,0.8260315409861505
4C_stability,0.9,0.1,0.0,0,200,1e-07,6.67610630989613e-05,diverged,5.974233494658339e+307,nan,nan,True,4699,20000,0.4,155,1.419895627801587,False,0.23852087487466633
4C_stability,0.9,0.1,0.0,1,200,1e-05,0.00038460209584137265,diverged,5.962902123190472e+307,nan,nan,True,9339,20000,0.4,364,3.33446457109534,False,0.39054545806720853
4C_stability,0.9,0.1,0.0,2,200,1e-06,0.0005000526842520934,attractor,2.740314663619449,1.4082706567490217,0.1603527077318144,False,20000,20000,0.4,233,2.1344237501791596,False,0.7544003331568092
4C_stability,0.9,0.1,0.0,3,200,1e-05,0.00019017723736307907,diverged,5.433151628322725,nan,nan,False,20000,20000,0.4,154,1.4107350108480283,False,0.7525719169061631
