experiment,task,method,replicate,seed_reservoir,seed_task,seed_split,n_units,rho,leak_rate,state_noise,alpha,val_nrmse,switch_index,warmup_steps,free_run_steps,stats_steps,dt,lyapunov_per_time,lyapunov_time,valid_time_threshold,valid_time_steps,valid_time,valid_time_lyapunov,valid_time_censored,diverged,n_completed,regime,amplitude_ratio,std_ratio,autocorr_peak,return_map_distance,return_map_distance_surrogate,spectrum_distance,spectrum_distance_surrogate,closer_than_surrogate,n_stats_samples,n_return_map_points,n_spectrum_bins,wall_time_s
4B_freerun,lorenz,delay_line,3,0,1,2,200,0.9,0.3,0.0,1e-08,1.7786617041180414e-05,5529,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,11,0.11,0.10076678648914487,False,False,20000,periodic,0.8269562009574203,0.12861893373972635,0.23116586051508345,1.4868244223655784,0.3925557061369136,0.6673681309529697,0.9305926993344595,False,20000,362,2049,0.2318696251604706
4B_freerun,lorenz,esn,3,0,1,2,200,0.9,0.3,0.0,1e-08,3.1437276863927e-05,5529,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,645,6.45,5.9085979350453135,False,False,20000,attractor,1.012855229929944,1.0131227368395976,0.17181064403431368,0.01096610726847393,0.3925557061369136,0.3721232845018008,0.9305926993344595,True,20000,265,2049,0.6848812920507044
4B_freerun,lorenz,linear,4,0,1,2,200,0.9,0.3,0.0,0.001,0.06082030406159455,5498,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,3,0.03,0.027481850860675876,False,False,20000,periodic,0.7602078586585177,0.13799223427927423,0.760175701962134,2.0260460409214867,0.46237248779634393,0.9585450113234967,0.9354150117262312,False,20000,120,2049,0.24722237489186227
4B_freerun,lorenz,delay_line,4,0,1,2,200,0.9,0.3,0.0,1e-08,1.7068665633543662e-05,5498,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,53,0.53,0.4855126985386072,False,False,20000,periodic,0.7484480894294304,0.09963165285253334,0.08519217457243819,1.3440142868519815,0.46237248779634393,0.8778414023210188,0.9354150117262312,False,20000,374,2049,0.22818741598166525
4B_freerun,lorenz,esn,4,0,1,2,200,0.9,0.3,0.0,1e-08,1.4976012797942892e-05,5498,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,432,4.32,3.9573865239373265,False,False,20000,attractor,1.0065166361446962,1.0027711858309156,0.17030433197182074,0.019351344727701055,0.46237248779634393,0.3968239396556326,0.9354150117262312,True,20000,263,2049,0.686730665853247
4B_freerun,lorenz,linear,5,0,1,2,200,0.9,0.3,0.0,0.1,0.06336661851287784,5394,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,3,0.03,0.027481850860675876,False,False,20000,periodic,0.6644138643790907,0.17585709028748117,0.7238108548483808,1.9272578829385023,0.4791045290559883,0.9501095219367645,0.9270881999087287,False,20000,112,2049,0.25992795801721513
4B_freerun,lorenz,delay_line,5,0,1,2,200,0.9,0.3,0.0,1e-08,1.446059687741759e-05,5394,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,41,0.41000000000000003,0.37558529509590366,False,False,20000,periodic,0.7004968000654519,0.0966288528515006,0.000253451738355964,1.378064807338875,0.4791045290559883,0.8911629686938337,0.9270881999087287,False,20000,360,2049,0.22708483412861824
4B_freerun,lorenz,esn,5,0,1,2,200,0.9,0.3,0.0,1e-07,2.4151979246203246e-05,5394,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,593,5.93,5.432245853460264,False,False,20000,attractor,1.0908468263150377,0.95914946415585,0.22401206823857978,0.11810981150859282,0.4791045290559883,0.45035464763991656,0.9270881999087287,True,20000,279,2049,0.6800393329467624
4B_freerun,lorenz,linear,6,0,1,2,200,0.9,0.3,0.0,1e-08,0.059975030815115085,5432,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,13,0.13,0.11908802039626214,False,False,20000,periodic,0.22713598731897006,0.04098107589364542,0.7282362084895365,1.8348666817026213,0.3900410419891438,0.8771377170923947,0.9204662840988533,False,20000,172,2049,0.24775991612114012
4B_freerun,lorenz,delay_line,6,0,1,2,200,0.9,0.3,0.0,1e-08,1.648532333264261e-05,5432,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,17,0.17,0.15573048821049665,False,False,20000,periodic,0.38378519820309526,0.031745489375564616,0.14741290774892485,1.4872846535647817,0.3900410419891438,0.9170684024948077,0.9204662840988533,False,20000,399,2049,0.22820070781745017
4B_freerun,lorenz,esn,6,0,1,2,200,0.9,0.3,0.0,1e-08,4.4146660048370615e-05,5432,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,347,3.47,3.1787340828848434,False,False,20000,attractor,1.0086335332375722,0.9986607265401611,0.17824225091459223,0.009988019530318859,0.3900410419891438,0.3372046829343554,0.9204662840988533,True,20000,266,2049,0.6850297499913722
4B_freerun,lorenz,linear,7,0,1,2,200,0.9,0.3,0.0,1e-08,0.0622984598159082,5515,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,7,0.07,0.06412431867491039,False,False,20000,periodic,0.7318131345196358,0.15049692582202764,0.7441891920485827,1.8468825456075866,0.4638506662467242,0.948999230171987,0.9322655161663107,False,20000,119,2049,0.2504961669910699
4B_freerun,lorenz,delay_line,7,0,1,2,200,0.9,0.3,0.0,1e-08,1.8121965402212685e-05,5515,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,46,0.46,0.4213883798636968,False,False,20000,periodic,0.6108894822946904,0.035579758136338985,0.010506333212575868,1.7295676953615682,0.4638506662467242,0.8164511953694685,0.9322655161663107,False,20000,383,2049,0.22969341720454395
4B_freerun,lorenz,esn,7,0,1,2,200,0.9,0.3,0.0,1e-07,2.3522351283213736e-05,5515,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,411,4.11,3.7650135679125953,False,False,20000,attractor,1.05305809184506,0.9890245835587673,0.20998066405184143,0.06953935563702211,0.4638506662467242,0.3519145476806878,0.9322655161663107,True,20000,278,2049,0.7145822918973863
4B_freerun,lorenz,linear,8,0,1,2,200,0.9,0.3,0.0,1e-08,0.0648014587226376,5471,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,8,0.08,0.07328493562846901,False,False,20000,periodic,0.27431731943552184,0.15169428622178222,0.7170465183851265,2.159669133916507,0.429251313884344,0.8483113104469107,0.9414224606309862,False,20000,102,2049,0.24789458303712308
4B_freerun,lorenz,delay_line,8,0,1,2,200,0.9,0.3,0.0,1e-08,2.386870982026599e-05,5471,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,19,0.19,0.17405172211761388,False,False,20000,periodic,0.3335070245639328,0.08916190984641369,-5.1357137672587804e-05,1.77241986070875,0.429251313884344,0.8582753738752306,0.9414224606309862,False,20000,327,2049,0.23099420801736414
4B_freerun,lorenz,esn,8,0,1,2,200,0.9,0.3,0.0,1e-08,4.2381561802520825e-05,5471,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,398,3.98,3.645925547516333,False,False,20000,attractor,1.04240438180268,1.0090821978634332,0.20038086904725858,0.012754374316471508,0.429251313884344,0.4420665264392576,0.9414224606309862,True,20000,266,2049,0.6884888750500977
4B_freerun,lorenz,linear,9,0,1,2,200,0.9,0.3,0.0,0.1,0.06140738118965307,5505,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,8,0.08,0.07328493562846901,False,False,20000,periodic,0.3998490114486958,0.10635310505953431,0.7496421983921091,1.9602688372757116,0.42993000279991883,0.9248274587277928,0.9319586720463414,False,20000,108,2049,0.24796841712668538
4B_freerun,lorenz,delay_line,9,0,1,2,200,0.9,0.3,0.0,1e-08,2.1403590025747995e-05,5505,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,18,0.18,0.16489110516405525,False,False,20000,periodic,0.6465260180953106,0.11437819912656959,0.0038441852463597568,1.727035304709485,0.42993000279991883,0.8594886700459712,0.9319586720463414,False,20000,362,2049,0.22081062500365078
4B_freerun,lorenz,esn,9,0,1,2,200,0.9,0.3,0.0,1e-08,5.458678594624782e-05,5505,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,616,6.16,5.642940043392113,False,False,20000,attractor,1.0634709492123422,1.0007729254544124,0.21068462087038492,0.011655779595063512,0.42993000279991883,0.3737993538805648,0.9319586720463414,True,20000,265,2049,0.6800830829888582
4B_freerun,mackey_glass,linear,0,0,1,2,200,0.9,0.3,0.0,1e-08,0.1452613133932892,5502,200,2000,20000,1.0,nan,nan,0.4,6,6.0,nan,False,False,20000,periodic,0.8794269675383727,0.096287423707715,-4.9481025309166715e-06,nan,0.1693301912855466,0.9999544690512087,0.9347269866723036,False,20000,0,2049,0.2710115839727223
4B_freerun,mackey_glass,delay_line,0,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006072364904858323,5502,200,2000,20000,1.0,nan,nan,0.4,7,7.0,nan,False,False,20000,periodic,0.9999810609674853,0.09431250436960635,0.7021119528614715,0.7659699149700241,0.1693301912855466,0.5872907694256408,0.9347269866723036,False,20000,669,2049,0.17485750000923872
4B_freerun,mackey_glass,esn,0,0,1,2,200,0.9,0.3,0.0,1e-08,0.0004752603573573836,5502,200,2000,20000,1.0,nan,nan,0.4,478,478.0,nan,False,False,20000,attractor,1.0042258115357732,0.9937121831945865,0.881953636789334,0.01629006929898813,0.1693301912855466,0.40770851947335485,0.9347269866723036,True,20000,667,2049,0.6819890418555588
4B_freerun,mackey_glass,linear,1,0,1,2,200,0.9,0.3,0.0,1e-08,0.14576127785500062,5406,200,2000,20000,1.0,nan,nan,0.4,3,3.0,nan,False,False,20000,periodic,0.5013633926992016,0.0523305012753554,-2.212921413897216e-05,nan,0.1683448294971865,0.9999582235094144,0.9453575276152175,False,20000,0,2049,0.28184295794926584
4B_freerun,mackey_glass,delay_line,1,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006265736240349428,5406,200,2000,20000,1.0,nan,nan,0.4,19,19.0,nan,False,False,20000,periodic,0.6556366875115743,0.0645687461245004,0.6911222370349639,0.7600646867802314,0.1683448294971865,0.6621332099097317,0.9453575276152175,False,20000,639,2049,0.17717562499456108
4B_freerun,mackey_glass,esn,1,0,1,2,200,0.9,0.3,0.0,1e-08,0.00045708386125117335,5406,200,2000,20000,1.0,nan,nan,0.4,366,366.0,nan,False,False,20000,attractor,1.0042172185606655,0.9992228021646066,0.8173637695578191,0.006920106422410617,0.1683448294971865,0.522921311359481,0.9453575276152175,True,20000,692,2049,0.6804154578130692
4B_freerun,mackey_glass,linear,2,0,1,2,200,0.9,0.3,0.0,1e-08,0.14545882082544068,5469,200,2000,20000,1.0,nan,nan,0.4,1,1.0,nan,False,False,20000,periodic,0.6618655585957768,0.07197115798448767,-3.112807135015801e-05,nan,0.175259387461111,0.9999604546967178,0.9496119870808212,False,20000,0,2049,0.2745295830536634
4B_freerun,mackey_glass,delay_line,2,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006156568117219686,5469,200,2000,20000,1.0,nan,nan,0.4,23,23.0,nan,False,False,20000,periodic,0.5546233265631393,0.0529962465503828,0.6776461612093774,0.7758075447932153,0.175259387461111,0.7026323021918444,0.9496119870808212,False,20000,628,2049,0.17591945896856487
