experiment,condition_id,replicate,diagnostic,key,value
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_total_raw,600.994078530592
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_linear,59.994962117326914
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_nonlinear,540.999116413265
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,saturation_ratio,3.00497039265296
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_threshold_degree1,0.03304550775783745
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_threshold_degree2,0.5160000495834406
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_threshold_degree3,0.03633544522198672
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_threshold_degree4,0.29233184260287187
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,mc_total,273.59580779217396
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,mc_total_raw,273.59580779217396
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,mc_threshold,0.03113145175639828
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,mc_effective_delay,153.05304329786222
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,mc_ratio,1.3679790389608697
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_total,600.9963974702086
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_total_raw,600.9963974702086
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_linear,59.996723166789316
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_nonlinear,540.9996743034193
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,saturation_ratio,3.004981987351043
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_threshold_degree1,0.03143354416979
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_threshold_degree2,0.47254975124754395
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_threshold_degree3,0.03871516089173186
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,4,ipc,ipc_threshold_degree4,0.31240524964120003
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,mc_total,252.37917703088291
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,mc_total_raw,252.37917703088291
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,mc_threshold,0.033189889976694475
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,mc_effective_delay,145.66262421831235
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,mc_ratio,1.2618958851544146
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_total,600.9888665269006
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_total_raw,600.9888665269006
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_linear,59.990488016086324
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_nonlinear,540.9983785108142
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,saturation_ratio,3.0049443326345027
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_threshold_degree1,0.03292487436645392
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_threshold_degree2,0.4667163608978386
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_threshold_degree3,0.05118527170585393
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,0,ipc,ipc_threshold_degree4,0.282595576275823
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,mc_total,275.28599561937153
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,mc_total_raw,275.28599561937153
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,mc_threshold,0.03392359767268998
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,mc_effective_delay,157.11006578124832
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,mc_ratio,1.3764299780968576
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_total,600.9877083030785
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_total_raw,600.9877083030785
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_linear,59.98999863894975
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_nonlinear,540.9977096641288
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,saturation_ratio,3.0049385415153926
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_threshold_degree1,0.03209201756020347
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_threshold_degree2,0.5028802993980389
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_threshold_degree3,0.03343384821737254
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,1,ipc,ipc_threshold_degree4,0.31109616357411757
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,mc_total,265.2326889280261
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,mc_total_raw,265.2326889280261
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,mc_threshold,0.032476072415802165
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,mc_effective_delay,151.26860035716035
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,mc_ratio,1.3261634446401305
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_total,600.9893704645224
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_total_raw,600.9893704645224
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_linear,59.991527886767656
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_nonlinear,540.9978425777547
