experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2B_timescale,1,0,1,3,0.9,0.3,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.5716281640821061,2.0533307293739085e-17,1,-0.06842860259975307,-0.06807293923038522,-0.06807293923038522,3.791389063508629,3.791389063508629,4.587443893489802,0.33433700003661215
2B_timescale,1,0,1,3,0.9,0.5,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.47374961588954667,2.6566189053342855e-17,1,-0.11583413244856865,-0.11823627569913067,-0.11823627569913067,1.957038648401304,1.957038648401304,2.7044791439848304,0.3333344168495387
2B_timescale,1,0,1,3,0.9,0.7,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.43862978392400515,3.9870619776993996e-17,1,-0.1656224328194088,-0.17497656872454959,-0.17497656872454959,1.1225857226385687,1.1225857226385687,1.6949062870754863,0.3359029160346836
2B_timescale,1,0,1,3,0.9,1.0,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.5172950568341472,7.075034700030683e-17,1,-0.24487810396529627,-0.2587376417658038,-0.2587376417658038,0.620743093067793,0.620743093067793,1.0,0.3341363749932498
2B_timescale,2,0,1,3,0.9,0.1,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.6671971399140391,9.558433565014648e-18,1,-0.01580107790528984,-0.01644094907305575,-0.01644094907305575,11.823539624294359,11.823539624294359,14.733259197990748,0.33450899994932115
2B_timescale,2,0,1,3,0.9,0.2,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.6031019067992776,1.3207273298188837e-17,1,-0.03296340244592008,-0.0327972541410071,-0.0327972541410071,5.537983557261932,5.537983557261932,5.947257589259848,0.34911574982106686
2B_timescale,2,0,1,3,0.9,0.3,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.5458782929820597,1.7133970072543807e-17,1,-0.05003633374206155,-0.04992331866974973,-0.04992331866974973,3.342625572185373,3.342625572185373,4.0085654903950285,0.3480440841522068
2B_timescale,2,0,1,3,0.9,0.5,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.4595314574219941,2.2723097870418534e-17,1,-0.08833056114082952,-0.08724841974717829,-0.08724841974717829,1.7204781528208697,1.7204781528208697,2.2142319866736973,0.3247397500090301
2B_timescale,2,0,1,3,0.9,0.7,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.4291206809549378,3.6632686891710256e-17,1,-0.13049625859769626,-0.1312434447623931,-0.1312434447623931,0.9238428355806326,0.9238428355806326,1.4571961660942006,0.3344346662051976
2B_timescale,2,0,1,3,0.9,1.0,1.0,0.5,0.8660254037844386,0.49414743180378756,200,0.1,3000,200,200,10,0.4960729101087617,6.944009361085138e-17,1,-0.22993088424147365,-0.23545853393822927,-0.23545853393822927,0.5485379930057641,0.5485379930057641,1.0,0.33584783296100795
