experiment,replicate,offset_ratio,drive_mean,drive_std,rho,leak_rate,n_units,sigma_u,n_steps,degree,capacity,capacity_raw,ipc_total,wall_time_s
3S_symmetry,0,3.0,0.6001343169853555,0.20099158102858483,0.95,1.0,50,0.2,30000,3,6.197557479779625,6.2330248990794255,36.212720134434676,0.9324605001602322
3S_symmetry,0,3.0,0.6001343169853555,0.20099158102858483,0.95,1.0,50,0.2,30000,4,0.6050892291295741,0.657013449368168,36.212720134434676,0.9324605001602322
3S_symmetry,1,0.0,-0.0006411767783430478,0.20060466690889084,0.95,1.0,50,0.2,30000,1,16.724975898999723,16.746277731689585,33.52705425958226,0.9197940421290696
3S_symmetry,1,0.0,-0.0006411767783430478,0.20060466690889084,0.95,1.0,50,0.2,30000,2,0.05169676327892492,0.38528188849978595,33.52705425958226,0.9197940421290696
3S_symmetry,1,0.0,-0.0006411767783430478,0.20060466690889084,0.95,1.0,50,0.2,30000,3,16.70784902833518,16.71714957280601,33.52705425958226,0.9197940421290696
3S_symmetry,1,0.0,-0.0006411767783430478,0.20060466690889084,0.95,1.0,50,0.2,30000,4,0.04253256896844804,0.22857962688360522,33.52705425958226,0.9197940421290696
3S_symmetry,1,0.5,0.09935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,1,15.0833212434673,15.121745149962752,37.43634382114739,0.9238808748777956
3S_symmetry,1,0.5,0.09935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,2,14.695402244042363,14.732284870169439,37.43634382114739,0.9238808748777956
3S_symmetry,1,0.5,0.09935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,3,7.2828065233575625,7.29600745732713,37.43634382114739,0.9238808748777956
3S_symmetry,1,0.5,0.09935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,4,0.37481381028016136,0.409388519065933,37.43634382114739,0.9238808748777956
3S_symmetry,1,1.0,0.19935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,1,13.438884477253271,13.496082175564354,38.51477075264452,0.9228309169411659
3S_symmetry,1,1.0,0.19935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,2,19.78161081402796,19.84028561900558,38.51477075264452,0.9228309169411659
3S_symmetry,1,1.0,0.19935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,3,4.920245432525919,4.928960335304295,38.51477075264452,0.9228309169411659
3S_symmetry,1,1.0,0.19935882322165696,0.20060466690889084,0.95,1.0,50,0.2,30000,4,0.3740300288373941,0.4353537904662206,38.51477075264452,0.9228309169411659
3S_symmetry,1,2.0,0.39935882322165694,0.20060466690889084,0.95,1.0,50,0.2,30000,1,11.632815355173049,11.70234657223764,38.05884409219575,0.9231389579363167
3S_symmetry,1,2.0,0.39935882322165694,0.20060466690889084,0.95,1.0,50,0.2,30000,2,20.867210177545992,20.986650122852282,38.05884409219575,0.9231389579363167
3S_symmetry,1,2.0,0.39935882322165694,0.20060466690889084,0.95,1.0,50,0.2,30000,3,5.183077249407966,5.198380467787094,38.05884409219575,0.9231389579363167
3S_symmetry,1,2.0,0.39935882322165694,0.20060466690889084,0.95,1.0,50,0.2,30000,4,0.3757413100687542,0.45168947586075847,38.05884409219575,0.9231389579363167
3S_symmetry,1,3.0,0.5993588232216571,0.20060466690889084,0.95,1.0,50,0.2,30000,1,10.603934593863936,10.678129440307236,37.08245409454147,0.9114750409498811
3S_symmetry,1,3.0,0.5993588232216571,0.20060466690889084,0.95,1.0,50,0.2,30000,2,20.383105889719523,20.537022935772107,37.08245409454147,0.9114750409498811
3S_symmetry,1,3.0,0.5993588232216571,0.20060466690889084,0.95,1.0,50,0.2,30000,3,5.681147558122056,5.76137880271316,37.08245409454147,0.9114750409498811
3S_symmetry,1,3.0,0.5993588232216571,0.20060466690889084,0.95,1.0,50,0.2,30000,4,0.41426605283595663,0.4811233257423295,37.08245409454147,0.9114750409498811
3S_symmetry,2,0.0,-0.0005866831310316851,0.20036185636397266,0.95,1.0,50,0.2,30000,1,14.23633730985867,14.277789368233101,31.657340267203793,0.9212172499392182
3S_symmetry,2,0.0,-0.0005866831310316851,0.20036185636397266,0.95,1.0,50,0.2,30000,2,0.026849959337037932,0.3782813031010196,31.657340267203793,0.9212172499392182
3S_symmetry,2,0.0,-0.0005866831310316851,0.20036185636397266,0.95,1.0,50,0.2,30000,3,17.34632313297587,17.34632313297587,31.657340267203793,0.9212172499392182
3S_symmetry,2,0.0,-0.0005866831310316851,0.20036185636397266,0.95,1.0,50,0.2,30000,4,0.04782986503221753,0.2424127012577535,31.657340267203793,0.9212172499392182
3S_symmetry,2,0.5,0.09941331686896832,0.20036185636397266,0.95,1.0,50,0.2,30000,1,13.629031039678907,13.667540119887631,34.33426999331247,0.9228614999447018
3S_symmetry,2,0.5,0.09941331686896832,0.20036185636397266,0.95,1.0,50,0.2,30000,2,9.402332265095533,9.459172651687052,34.33426999331247,0.9228614999447018
3S_symmetry,2,0.5,0.09941331686896832,0.20036185636397266,0.95,1.0,50,0.2,30000,3,10.944378637081059,10.946974555323091,34.33426999331247,0.9228614999447018
