experiment,sweep_axis,level,topology_kind,graph,replicate,n_units,n_steps,rho,leak_rate,sigma_u,state_noise,nominal_density,realized_density,in_degree_max,in_degree_std,gain_max,gain_std,mc_total,mc_effective_delay,ipc_total,ipc_linear,ipc_nonlinear,wall_time_s
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,7,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.6752313273097539,1.559394549700076,0.37356522903229417,9.621536688546312,6.128939824825471,16.996309755816203,9.612385623881563,7.38392413193464,0.6677211250644177
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,7,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.6752313273097539,1.5279422330432084,0.3752787780848777,9.57711083084939,6.815927314839722,17.297374856460923,9.550426404735902,7.746948451725022,0.661307584028691
3T_topology_ladder,n_units,control_symmetric,control,0,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1472,7.0,1.9332873557751316,1.166159471645617,0.28521253103522176,10.90055179055629,7.261108362567829,15.448546587573079,10.896713616154353,4.551832971418726,0.6720320000313222
3T_topology_ladder,n_units,control_symmetric,control,0,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1472,7.0,1.9332873557751316,1.1614459600439155,0.2796086954783079,11.05485271084885,7.345495882538518,17.755163301355836,11.040568051786767,6.714595249569069,0.6690425828564912
3T_topology_ladder,n_units,control_symmetric,control,0,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1472,7.0,1.9332873557751316,1.2660779080539588,0.34303793906124824,11.74161396716179,8.113119717303862,16.837873337271276,11.694401525390894,5.1434718118803815,0.6689071250148118
3T_topology_ladder,n_units,control_symmetric,control,1,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.16,8.0,1.3564659966250536,1.0597369985401128,0.2528529379465901,9.656348076838421,5.849153336051563,15.634423052672737,9.657083649172506,5.977339403500231,0.6662189171183854
3T_topology_ladder,n_units,control_symmetric,control,1,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.16,8.0,1.3564659966250536,1.2166158990701872,0.21247526299165007,11.332104276099932,7.237997706816487,17.257199382925812,11.312974384628767,5.944224998297045,0.6638116659596562
3T_topology_ladder,n_units,control_symmetric,control,1,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.16,8.0,1.3564659966250536,0.8899591713238821,0.16177264587857898,8.909068133815586,5.752012946625935,15.227022574515587,8.902950077945546,6.324072496570041,0.6619062498211861
3T_topology_ladder,n_units,control_symmetric,control,2,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,5.0,1.197330363767661,1.0638169566258708,0.25129553811261524,9.94074488897343,7.7034019721802105,15.491001541547513,9.93637088343537,5.554630658112144,0.6611337498761714
3T_topology_ladder,n_units,control_symmetric,control,2,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,5.0,1.197330363767661,0.9819249843486976,0.25568147444042705,9.455616471836581,5.897883527264603,15.13692231396003,9.445139384100068,5.691782929859961,0.6611840408295393
3T_topology_ladder,n_units,control_symmetric,control,2,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,5.0,1.197330363767661,1.237758239698392,0.30926520240389743,11.428054727740852,7.595795215305341,16.095570062134783,11.395549301308016,4.700020760826767,0.6690924579743296
3T_topology_ladder,n_units,control_symmetric,control,3,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1264,6.0,1.1892854997854805,1.2627855407319561,0.24650300659433466,9.99551446373273,6.533214366327291,16.173732158063956,9.975865005606087,6.197867152457869,0.6637356248684227
3T_topology_ladder,n_units,control_symmetric,control,3,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1264,6.0,1.1892854997854805,1.740667104503308,0.3408547113274019,10.681313500478867,7.049737783498053,16.651027535526815,10.670898423382202,5.980129112144613,0.6634207910392433
3T_topology_ladder,n_units,control_symmetric,control,3,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1264,6.0,1.1892854997854805,1.2805318221142947,0.22486378504181784,13.218927175762282,8.792364229123878,17.65291118830945,13.174806191380558,4.4781049969288915,0.660417249891907
3T_topology_ladder,n_units,control_symmetric,control,4,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1632,8.0,1.5471263684650973,1.175260977905078,0.2101242135387104,11.165990242042726,7.305942357183533,16.73307491046253,11.162811209842951,5.570263700619579,0.6641572080552578
3T_topology_ladder,n_units,control_symmetric,control,4,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1632,8.0,1.5471263684650973,1.4818728017019456,0.29144133624707275,10.796101582755472,6.542264379212613,18.83358142540674,10.794049104736139,8.039532320670602,0.666035708039999
3T_topology_ladder,n_units,control_symmetric,control,4,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1632,8.0,1.5471263684650973,1.4042037413511748,0.3040413969251422,11.330419286574681,7.978807042139907,17.729857273495973,11.281705799201793,6.44815147429418,0.6680171671323478
3T_topology_ladder,n_units,control_symmetric,control,5,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.128,7.0,1.574801574802362,1.262807082277073,0.31765237586217115,10.620685655609979,6.696228718943557,16.170450482270798,10.620273355682306,5.550177126588492,0.663806458003819
3T_topology_ladder,n_units,control_symmetric,control,5,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.128,7.0,1.574801574802362,1.3399976945817542,0.34663745711405025,10.271570995027195,6.6464956761873,17.397857641391713,10.263356778755616,7.134500862636097,0.6614332080353051
3T_topology_ladder,n_units,control_symmetric,control,5,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.128,7.0,1.574801574802362,1.049152577388121,0.26549291028105304,9.167620050944226,6.367759707413462,15.947082497610818,9.134598515694677,6.812483981916142,0.6690841661766171
3T_topology_ladder,n_units,control_symmetric,control,6,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1696,7.0,1.631686244349691,1.0250868606143526,0.19031723917980028,9.982961985198806,6.737258103107791,16.788558423485664,9.977844858355983,6.8107135651296815,0.6679527498781681
3T_topology_ladder,n_units,control_symmetric,control,6,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1696,7.0,1.631686244349691,1.2372532346784504,0.2527400524584138,9.950219808482784,7.351976516250917,15.914910354294733,9.930091970780792,5.984818383513941,0.6650437500793487
3T_topology_ladder,n_units,control_symmetric,control,6,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1696,7.0,1.631686244349691,0.9441830653766601,0.192468707406621,9.329834163285094,6.1597964808929095,15.00298689505737,9.309507465267016,5.693479429790354,0.6645465830806643
3T_topology_ladder,n_units,control_symmetric,control,7,0,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,7.0,1.5979987484350544,1.6124549333934743,0.46210359207892693,10.239587922066697,6.23090855428477,17.667137884201598,10.226824389478567,7.44031349472303,0.6705882919486612
3T_topology_ladder,n_units,control_symmetric,control,7,1,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,7.0,1.5979987484350544,1.349833599706266,0.29354917248089124,8.707716527208936,5.7686890906860375,14.036719146536964,8.689982438039793,5.34673670849717,0.6651125841308385
3T_topology_ladder,n_units,control_symmetric,control,7,2,25,20000,0.95,1.0,0.2,0.0,0.15040000000000014,0.1232,7.0,1.5979987484350544,0.9126368657816498,0.23128190538758042,8.447038730289329,6.175016133519909,13.55366407589479,8.424924618128275,5.128739457766516,0.6660119579173625
3T_topology_ladder,n_units,control_no_self,control,0,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,7.0,1.8434749794884662,1.6171655384809225,0.3284573128018527,10.35521197118174,6.77111171353728,16.271480767554298,10.360054674785612,5.911426092768686,0.6650620829313993
3T_topology_ladder,n_units,control_no_self,control,0,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,7.0,1.8434749794884662,1.779681862685246,0.38166772035861707,11.59109823783435,7.4209232261148985,18.020885552377422,11.562291313484318,6.458594238893104,0.6696639999281615
3T_topology_ladder,n_units,control_no_self,control,0,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1584,7.0,1.8434749794884662,1.24307800441222,0.2709244024263183,11.131591261462102,6.915736972536163,16.946660572494203,11.108302045518558,5.838358526975645,0.6730940828565508
3T_topology_ladder,n_units,control_no_self,control,1,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.7352394941061375,0.3575893001175949,10.11126640690163,6.845334743241957,17.050507975345003,10.108588109687647,6.941919865657356,0.6607827909756452
