experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,0,0,14.852420474918361,30.15361638024212,30.983205817666075,14.781137425747126,15.372478954494994,2.1816631669644266
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,0,0,14.805373104631176,30.069311293513127,30.983205817666075,14.77388580237447,15.295425491138657,2.188443166902289
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,0,0,14.7895041716913,30.03564601591772,30.983205817666075,14.761434400794528,15.274211615123193,2.175224249949679
3Th_ladder_threshold,none,25,0.95,control_symmetric,0,1,14.990370778769904,35.25507708246707,35.25507708246707,14.15414342774323,21.10093365472384,0.11968066683039069
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,0,1,14.215710734052639,34.5402581966613,35.25507708246707,14.098272373868,20.4419858227933,0.21992924995720387
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,0,1,14.101053542341877,34.480850348935164,35.25507708246707,14.091510406009906,20.389339942925258,0.21813066583126783
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,0,1,14.089465457578417,34.39658231523583,35.25507708246707,14.088023791624405,20.308558523611428,0.21769337495788932
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,0,1,14.130331531271324,34.50895910288819,35.25507708246707,14.098272373868,20.410686729020192,0.5918486658483744
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,0,1,14.089465457578417,34.40040631968081,35.25507708246707,14.088023791624405,20.312382528056407,0.6000703331083059
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,0,1,14.089465457578417,34.274466315937744,35.25507708246707,14.084143350031779,20.190322965905963,0.5895606251433492
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,0,1,14.167675131156365,34.50275312868008,35.25507708246707,14.091510406009906,20.41124272267017,2.184248917037621
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,0,1,14.104832747875868,34.37371878035181,35.25507708246707,14.088023791624405,20.285694988727403,2.1778897081967443
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,0,1,14.089465457578417,34.30815507001836,35.25507708246707,14.084143350031779,20.224011719986578,2.1744422919582576
3Th_ladder_threshold,none,25,0.95,control_symmetric,1,0,13.921037066719151,32.04791841442206,32.04791841442206,13.068009966118932,18.979908448303124,0.12180445808917284
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,1,0,13.075574303600392,31.194431854010208,32.04791841442206,13.017832600197872,18.176599253812334,0.2178470001090318
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,1,0,13.022158041325584,31.12474025464636,32.04791841442206,13.017832600197872,18.106907654448484,0.2165868328884244
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,1,0,13.022158041325584,31.109984561369295,32.04791841442206,13.010784036555377,18.099200524813917,0.21641116589307785
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,1,0,13.079015818470737,31.176890570163337,32.04791841442206,13.017832600197872,18.159057969965467,0.5966253748629242
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,1,0,13.018363903753455,31.106289690566943,32.04791841442206,13.00708916575302,18.099200524813924,0.5974689170252532
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,1,0,13.006760292906055,31.09427325900992,32.04791841442206,13.003221307500022,18.091051951509897,0.6028411670122296
