experiment,n_units,leak_rate,method,replicate,alpha,n_lags,nrmse,nmse,rmse,mc_total,ipc_total,ipc_linear,ipc_nonlinear,nonlinear_share,wall_time_s
3C2_narma10_operating,25,1.0,delay_line,2,1.0,25,0.40679684621539036,0.16548367409078796,0.042483343214069554,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,esn,2,1e-07,0,0.7813503148429206,0.6105083145051312,0.08159938776496162,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line_ols,2,0.0,25,0.409134217899459,0.16739080825620198,0.04272744383676847,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,linear,3,100.0,0,1.0002585655188065,1.0005171978937406,0.10912527502712209,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line,3,1.0,30,0.3844161419734607,0.14777577020975988,0.04193867332289332,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,esn,3,1e-09,0,0.7844199108988457,0.615314596614553,0.08557791101662675,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line_ols,3,0.0,30,0.38453319346114495,0.14786577687342634,0.04195144329680427,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,linear,4,100.0,0,1.0024336655125003,1.0048732537528273,0.10932973608507367,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line,4,1e-10,30,0.3924103827275435,0.1539859084723772,0.042797967642787725,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,esn,4,1e-10,0,0.6434941433003377,0.4140847124618356,0.07018224475067691,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,25,1.0,delay_line_ols,4,0.0,30,0.39241038272753975,0.15398590847237423,0.042797967642787316,10.493225287815195,20.292160584817633,10.453945650636308,9.838214934181325,0.48482835985154615,0.4308362079318613
3C2_narma10_operating,50,0.3,linear,0,100.0,0,1.0147244503074777,1.0296657100518127,0.11094512594233541,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line,0,10.0,30,0.3952810654349529,0.15624712069139152,0.043218144171072996,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,esn,0,1e-09,0,0.5209663122582814,0.2714058985079931,0.05695996889371804,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line_ols,0,0.0,30,0.390331493450001,0.1523586747789082,0.04267698160515203,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,linear,1,100.0,0,1.0009270988379626,1.0018550571881806,0.10795802733625796,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line,1,1e-10,30,0.3811273121985076,0.14525802810365868,0.04110764194184534,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,esn,1,1e-07,0,0.5276063373219876,0.27836844718232295,0.056906581361937,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line_ols,1,0.0,30,0.38112731219847684,0.14525802810363522,0.04110764194184202,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,linear,2,100.0,0,1.0265367467791666,1.053777692487955,0.10720514020942726,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line,2,1.0,25,0.40679684621539036,0.16548367409078796,0.042483343214069554,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,esn,2,1e-10,0,0.5187999609741809,0.2691533995068116,0.05418025485340688,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line_ols,2,0.0,25,0.409134217899459,0.16739080825620198,0.04272744383676847,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,linear,3,100.0,0,1.0002585655188065,1.0005171978937406,0.10912527502712209,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line,3,1.0,30,0.3844161419734607,0.14777577020975988,0.04193867332289332,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,esn,3,1e-10,0,0.5052677237013251,0.2552954726143186,0.0551232263456167,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line_ols,3,0.0,30,0.38453319346114495,0.14786577687342634,0.04195144329680427,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,linear,4,100.0,0,1.0024336655125003,1.0048732537528273,0.10932973608507367,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line,4,1e-10,30,0.3924103827275435,0.1539859084723772,0.042797967642787725,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,esn,4,1e-10,0,0.5121230501100432,0.2622700184540138,0.055854347113321066,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.3,delay_line_ols,4,0.0,30,0.39241038272753975,0.15398590847237423,0.042797967642787316,11.153396728857071,30.252834368632673,10.461881739040875,19.7909526295918,0.654185071998141,0.49670900008641183
3C2_narma10_operating,50,0.6,linear,0,100.0,0,1.0147244503074777,1.0296657100518127,0.11094512594233541,12.016014161634061,37.347273458181164,11.906186681886552,25.44108677629461,0.6812033227748672,0.49428225005976856
3C2_narma10_operating,50,0.6,delay_line,0,10.0,30,0.3952810654349529,0.15624712069139152,0.043218144171072996,12.016014161634061,37.347273458181164,11.906186681886552,25.44108677629461,0.6812033227748672,0.49428225005976856
3C2_narma10_operating,50,0.6,esn,0,1e-07,0,0.472497506452452,0.2232538936037849,0.05166062111238399,12.016014161634061,37.347273458181164,11.906186681886552,25.44108677629461,0.6812033227748672,0.49428225005976856
3C2_narma10_operating,50,0.6,delay_line_ols,0,0.0,30,0.390331493450001,0.1523586747789082,0.04267698160515203,12.016014161634061,37.347273458181164,11.906186681886552,25.44108677629461,0.6812033227748672,0.49428225005976856
