experiment,n_lags,method,replicate,alpha,n_train,taps_per_train,nmse,nrmse,rmse,t0,wall_time_s
3Cp_narma10_taps,300,delay_line_ols,0,0.0,3750,0.08,0.1747781266459577,0.4180647397783718,0.04548042918303874,300,0.35333841713145375
3Cp_narma10_taps,300,delay_line,1,1e-10,3750,0.08,0.15539744907507472,0.39420483136952383,0.042592434393252054,300,0.35333841713145375
3Cp_narma10_taps,300,delay_line_ols,1,0.0,3750,0.08,0.15539744907505862,0.3942048313695034,0.04259243439324985,300,0.35333841713145375
3Cp_narma10_taps,300,delay_line,2,10.0,3750,0.08,0.16812611732461372,0.4100318491588351,0.04279094223380787,300,0.35333841713145375
3Cp_narma10_taps,300,delay_line_ols,2,0.0,3750,0.08,0.1771758709781662,0.4209226425106711,0.043927505918201624,300,0.35333841713145375
3Cp_narma10_taps,800,delay_line,0,10.0,3500,0.22857142857142856,0.21326937532809948,0.46181097358995216,0.050207876696655086,800,0.6913135410286486
3Cp_narma10_taps,800,delay_line_ols,0,0.0,3500,0.22857142857142856,0.21967000866268,0.4686896720247631,0.050955725627492995,800,0.6913135410286486
3Cp_narma10_taps,800,delay_line,1,1e-10,3500,0.22857142857142856,0.1912991184186929,0.43737754677017077,0.04750847780157038,800,0.6913135410286486
3Cp_narma10_taps,800,delay_line_ols,1,0.0,3500,0.22857142857142856,0.19129911841887,0.4373775467703732,0.04750847780159237,800,0.6913135410286486
3Cp_narma10_taps,800,delay_line,2,10.0,3500,0.22857142857142856,0.19940752942692846,0.44655070196667307,0.04702825366543409,800,0.6913135410286486
3Cp_narma10_taps,800,delay_line_ols,2,0.0,3500,0.22857142857142856,0.21823973140385375,0.4671613547842477,0.04919885378910702,800,0.6913135410286486
3Cp_narma10_taps,1500,delay_line,0,10.0,3150,0.47619047619047616,0.2803768393113658,0.5295062221649202,0.05804179456258579,1500,1.6266001670155674
3Cp_narma10_taps,1500,delay_line_ols,0,0.0,3150,0.47619047619047616,0.30161348023900975,0.549193481606446,0.06019981239159908,1500,1.6266001670155674
3Cp_narma10_taps,1500,delay_line,1,10.0,3150,0.47619047619047616,0.24040167510484117,0.490307735106067,0.053789006927667804,1500,1.6266001670155674
3Cp_narma10_taps,1500,delay_line_ols,1,0.0,3150,0.47619047619047616,0.263008540025319,0.5128435824160413,0.056261292719395825,1500,1.6266001670155674
3Cp_narma10_taps,1500,delay_line,2,10.0,3150,0.47619047619047616,0.3219096486556644,0.5673708211176042,0.05829520066874489,1500,1.6266001670155674
3Cp_narma10_taps,1500,delay_line_ols,2,0.0,3150,0.47619047619047616,0.6140078129312928,0.7835865063484011,0.08051054253886702,1500,1.6266001670155674
3Cp_narma10_taps,2200,delay_line,0,10.0,2800,0.7857142857142857,0.3608955709232682,0.6007458455314262,0.0669679333852063,2200,3.170267791952938
3Cp_narma10_taps,2200,delay_line_ols,0,0.0,2800,0.7857142857142857,0.6188192759754649,0.7866506695957647,0.08769160874065718,2200,3.170267791952938
3Cp_narma10_taps,2200,delay_line,1,10.0,2800,0.7857142857142857,0.3478701334571795,0.5898051656752249,0.06463512610879009,2200,3.170267791952938
3Cp_narma10_taps,2200,delay_line_ols,1,0.0,2800,0.7857142857142857,0.4877068894351574,0.6983601430745868,0.07653136754965977,2200,3.170267791952938
3Cp_narma10_taps,2200,delay_line,2,10.0,2800,0.7857142857142857,0.3733423968981437,0.6110175094857296,0.06314152523716225,2200,3.170267791952938
3Cp_narma10_taps,2200,delay_line_ols,2,0.0,2800,0.7857142857142857,0.6289353972923561,0.7930544730927102,0.08195291992429764,2200,3.170267791952938
3Cp_narma10_taps,2500,delay_line,0,10.0,2650,0.9433962264150944,0.43419189531291197,0.658932390547704,0.07300185170108264,2500,4.010346292052418
3Cp_narma10_taps,2500,delay_line_ols,0,0.0,2650,0.9433962264150944,1.159789815435004,1.0769353812717846,0.11931159876645958,2500,4.010346292052418
3Cp_narma10_taps,2500,delay_line,1,10.0,2650,0.9433962264150944,0.4066208216247616,0.6376682692629151,0.06982062216084466,2500,4.010346292052418
3Cp_narma10_taps,2500,delay_line_ols,1,0.0,2650,0.9433962264150944,1.4220585175026264,1.1925009507344748,0.13057127400101295,2500,4.010346292052418
3Cp_narma10_taps,2500,delay_line,2,10.0,2650,0.9433962264150944,0.46988702232623714,0.6854830576507615,0.0699302038928972,2500,4.010346292052418
3Cp_narma10_taps,2500,delay_line_ols,2,0.0,2650,0.9433962264150944,1.7770860015465195,1.3330738920054355,0.1359947967083568,2500,4.010346292052418
